date, name, total, replacement
2018-08-15 13:44:52.266402, camaro, 4577.8, 4000.0
2018-08-15 13:47:06.594564, camaro, 4577.8, 4000.0
2018-08-15 13:53:36.735753, camaro, 4577.8, 4000.0
2018-08-15 14:01:40.977848, camaro, 4577.8, 4000.0
2018-08-15 14:14:22.303980, camaro, 4577.8, 4000.0
2018-08-15 14:51:45.287302, camaro, 4963.0, 4000.0
2018-08-15 15:09:54.477078, camaro, 5348.2, 4000.0
2018-08-15 15:37:00.016485, camaro, 4577.8, 4000.0
2018-08-15 16:00:43.234569, camaro, 4577.8, 4000.0
2018-08-15 16:11:25.402561, camaro, 4577.8, 4000.0
2018-08-15 16:12:21.171806, camaro, 4963.0, 4000.0
2018-08-16 08:38:02.226839, camaro, 4577.8, 4000.0
